60,110,true,2
130,110,true,2
200,110,true,2
270,110,true,2
340,110,true,2
410,110,true,4
480,110,true,4
550,110,true,4
620,110,true,4
690,110,true,4
760,110,true,4
830,110,true,4
900,110,true,4
970,110,true,1
1040,110,true,1
1110,110,true,1
1180,110,true,1
60,130,true,1
130,130,true,1
200,130,false,1
270,130,false,1
340,130,false,1
410,130,false,1
480,130,true,1
550,130,true,3
620,130,true,3
690,130,true,3
760,130,true,3
830,130,true,1
900,130,true,1
970,130,true,1
1040,130,true,1
1110,130,true,1
1180,130,true,1
60,150,true,1
130,150,true,1
200,150,true,4
270,150,true,4
340,150,true,3
410,150,true,3
480,150,true,6
550,150,true,6
620,150,true,1
690,150,true,2
760,150,false,2
830,150,true,2
900,150,false,2
970,150,false,1
1040,150,true,1
1110,150,true,1
1180,150,true,1
60,170,true,2
130,170,true,2
200,170,true,2
270,170,true,2
340,170,true,2
410,170,true,2
480,170,true,2
550,170,true,2
620,170,true,2
690,170,true,2
760,170,true,2
830,170,true,2
900,170,true,2
970,170,true,2
1040,170,true,2
1110,170,true,2
1180,170,true,2
